Question,Answer
 ما العاصمة العربية التي أطلق عليها اسم جلق ؟,دمشق
 بما يبحث علم الأثيولوجيا ؟,في سلوك الحيوانات
 أين ولد كريستوف كولومبس ؟,ولد في إيطاليا
 ما اللون الذي ترتاح له العين ؟,الأخضر
 بكم تكون قوة جاذبية الشمس أقوى من جاذبية الأرض ؟,ب 28 مرة
 ما أصل كلمة أستاذ ؟,فارسي
من هو العالم المسلم الملقب بحجة الإسلام ؟,الغزالي
ما الذي اخترعه ألفريد نوبل عام 1867 ؟,الديناميت
ما عاصمة بوركينا فاسو ؟,واغادوغو
 ما هو الشهد ؟,العسل
في أي مدينة توفي الشاعر نزار القباني ؟,لندن
 كم عدد إخوة سيدنا يوسف عليه السلام ؟,11 أخ
 أين أوصى نزار القباني أن يدفن ؟,دمشق
 ما هو البرج المائل في العالم ؟,برج بيزا
كم عدد اللغات الرسمية المستخدمة في الولايات المتحدة ؟,6 لغات
 ما المعركة التي انتصر فيها السلاجقة على جيش الروم ؟,ملازكرت
ما هي عاصمة تونس ؟,تونس
من هو الفيلسوف العربي المشهور بمقدمته ؟,ابن خلدون
 في أي سورة وردت آية الكرسي ؟,البقرة
ما هي جنسية المجاهد عمر المختار ؟,ليبي
من هو أصحاب الأيكة ؟,قوم شعيب
ما هي عاصمة الجزائر ؟,الجزائر
ما العملة الرئيسية في الجزائر ؟,الدينار
من هو آخر حاكم لقب بخليفة المسلمين ؟,عبد المجيد الثاني
من هو الذي قتل حمزة بن عبد المطلب ؟,وحشي بن حرب
 ما الدولة الوحيدة التي تستعمل الشنلغ كعملة لها ؟,النمسا
كم عدد أيام شهر فبراير في السنة الكبيسة ؟,29 يوم
من الذي ألف رواية الأيام؟,طه حسين
من الذي فتح صقلية ؟,أسد بن فرات
كم عدد الخلفاء الأمويين في الشام قبل انتقالها للأندلس ؟,14 خليفة
أين ظهرت الدولة الإدريسية ؟,المغرب
ماذا كانت عملة الكويت قبل الإستقلال ؟,الروبية
كم رجلا للنملة ؟,6 أرجل
من هو أول قاتل في الإسلام؟,قابيل
أين يقع سهل البقاع ؟,لبنان
كم عدد الدول العربية في آسيا ؟,12 دولة
ما هي العظمة الثالثة في الأذن بعد المطرقة والسندان ؟,الركاب
من أول مقتول في الإسلام ؟,هابيل
ما اليوم الذي فيه خلق آدم وفيه أدخل الجنة وفيه أخرج منها ؟,يوم الجمعة
ما هي عاصمة كازاخستان بعد 1997 ؟,أستانا
ما العملة الرسمية في ليبيا ؟,الدينار
أين ولد الملك سعود بن عبد العزيز ؟,الكويت
من هو ملك خزنة الجنة ؟,سيدنا رضوان
من هو سيد شباب الجنة ؟,سيدنا الحسين
من هو ملك خزنة النار ؟,سييدنا مالك
من هي سيدة نساء الجنة ؟,السيدة فاطمة الزهراء
كم عدد آيات سورة الكافرون ؟,6 آيات
في سورة الرحمن قال تعالى [ والنجم والشجر يسجدان] ما معنى كلمة النجم ؟,النجيلة
ما هي جنسية كارل ماركس ؟,ألماني
على أى بحر تطل مدينة صلالة العمانية ؟,بحر العرب
من الأديب العربي الذي فقد بصره وهو في الصغر من عمره ؟,أبو العلاء المعري
من هو الذي قتل الزبير بن العوام ؟,ابن جرموز
ما هي أكبر الحشرات الزاحفة ؟,الحشرة القلمية العملاقة
كم يبلغ طول أكبر الحشرات الزاحفة ؟,33 سم
أين يحمل العنكبوت المتوحش بيضه ؟,داخل جيب حريري
من هي الممثلة الأمريكية التي ماتت غرقا وهي تسبح في الليل عام 1981 ؟,ناتالي وود
كم يبلغ عدد النجوم في درب التبانة ؟,حوالي 100 بليون
ما الكوكب الذي أطلق عليه اسم كوكب الصدئ ؟,المريخ
ما الكوكب الأكثر حرارة ؟,كوكب الزهرة
 ما اسم الكوكب المليئ بالفوهات ؟,عطارد
 إلى أي درجة تصل حرارة كوكب الزهرة ؟,500 درجة مئوية
إلى أي درجة تصل برودة كوكب بلوتو ؟,240 درجة مئوية تحت الصفر
 متى حطت مركبة أمريكان فويجار على أورانس ؟,عام 1986
متى حطت مركبة أمريكان فويجار على نبتون ؟,عام 1989
 ما أكثر الكواكب برودة ؟,بلوتو
ما أبعد الكواكب عن الشمس ؟,بلوتو
 أقمار أي كوكب تشبه البطاطس ؟,كوكب المريخ
كم عدد أقمار المشتري ؟,16 قمر
كم تبلغ سرعة الصاروخ في الثانية ؟,11 كيلو متر
كم سنتيمتر يزيد طول الرواد في الفضاء عن طولهم الأصلي ؟,5 سم
ما الغاز الذي يغطي كوكب أورانس بلون أزرق يميل للأخضر ؟,غاز الميثان
ما أقرب النجوم لكوكب الأرض ؟,الشمس
ما أصل كلمة كوكب ؟,يوناني
ما أكبر الزواحف حجما ؟,تمساح المياه المالحة
ما هو الميسيسبي ؟,نهر
كم بيضة تضع ملكة النحل في اليوم الواحد ؟,3500 بيضة
ما الحشرة الملقبة بذات الدروع ؟,الخنفساء
ما الحشرة التي لها أعلى صوت في العالم ؟,السيكادا
ما الحشرة التي تلسع بذيلها ؟,العقرب
ما الحشرة التي تسبب الملاريا ؟,البعوضة
ماذا تسمى شجرة الصمغ في السودان ؟,الهشاب
ما هي أكبر أفعى في العالم ؟,الأناكودا
كم يبلغ طول أفعى الأناكودا ؟,10 أمتار
ما أكبر السحليات في العالم ؟,الكومودو
أين تعيش أصغر السحليات حجما ؟,في الهند الغربية
ما أكبر السحليات عمرا ؟,سلاحف البر
كم سنا للسلحفاة ؟,صفر من الأسنان
في أي كوكب تقع البقعة الحمراء الضخمة ؟,كوكب المشتري
متى نزل الإنسان على سطح القمر؟,عام1969
ما اسم الكوكب الذي له أضخم قمر ؟,المشتري
في أي دولة يوجد النهر الصناعي العظيم؟,في ليبيا
من هم القوم الذين جابوا الصخر بالوادي؟,قوم ثمود
كم تبلغ درجة خط الطول الأساسي(خط غرينتش) ؟,صفر درجة
من الذي كان قائد الفرس في معركة ذات السلاسل ؟,هرمز
من الذي كان قائد الفرس في معركة القادسية؟,رستم
ما الحيوانات التي جلبها الفرس في معركة القادسية ؟,الفيلة
من كان قائد جند العرب في معركة القادسية ؟,سعد بن أبي وقاص
ما هي عاصمة الفرس عند قيام معركة القادسية ؟,المدائن
من هو النبي الذي ابتلعه الحوت ؟,سيدنا يونس عليه السلام
 ما هي عملة الصومال ؟,الشان
ما هي عملة موريتانيا ؟,الأوقية
من أول من لقب بأمير المؤمنين ؟,سيدنا عمر بن الخطاب
بلد عربي يشتهر بالأهرامات ؟,مصر
ما آخر دولة انضمت لجامعة الدول العربية ؟,جزر القمر
متى بدأت الحرب العالمية الثانية ؟,عام 1939
ما أصل عمر بن الخيام ؟,فارسي
أين يوجد مقر محكمة العدل الدولية؟,لاهاي
أين تقع أكبر إهرامات في العالم ؟,مصر
 في أي بلد وقع زلزال أغادير ؟,المغرب
متى وقع زلزال أغادير؟,1960
على أي بحر تطل مدينة بنغازي ؟,البحر الأبيض المتوسط
من كان قائد المسلمين في فتح مكة ؟,الرسول صلى الله عليه وسلم
في أي عصر ظهر أول طير في التاريخ ؟,العصر الجوارسي
ماذا كان يطلق على التنين في بابل ؟,تيمات
ما أكبر محيطات العالم ؟,المحيط الهادي
أين يقع نهر اليرموك ؟,الأردن
نبي لقب بكليم الله ؟,سيدنا موسى عليه السلام
ما جنسية الشاعرة نازك الملائكة ؟,عراقية
 من هو رئيس جمهورية الصومال ؟,عبد القاسم صلاد
ما أشهر سفينة ذكرت في القرآن ؟,سفينة سيدنا نوح عليه السلام ؟
ما الدولة العربية الوحيدة التي تطل على البحرين الأحمر والأبيض ؟,مصر
 من هو النبي الذي ألقاه إخوته في البئر ؟,سيدنا يوسف
ما هو أول ركن يقوم به المسلم في الحج ؟,الإحرام
ما أول مسجد بنى فى الإسلام؟,مسجد قباء
كم يبلغ طول بيضة الديناصور؟,50سم تقريباً.
ما أول معركة خاضها المسلمون في البحر؟,ذات الصواري
ما هي جنسية العالم لويس باستر؟,فرنسي
متي تم استيطان أميركا الشمالية؟,عام 1582
ما نوع الفيل الذي لا يتأثر بالرصاص؟,الفيل الأفريقي
من هي الزوجة التي أنجبت القاسم للرسول صلي الله عليه وسلم؟,السيدة خديجة
ما السورة التي سميت بني إسرائيل؟,الإسراء
كم نجمة على علم أستراليا؟,6 نجوم
كم عدد البيض الذى تضعه الفراشة في حياتها؟,50000 بيضة
كم عدد دقات قلب الأرنب في الدقيقة ؟,150 دقة
كم يصل اتساع نهر النيل عند الدلتا؟,حوالي 160كم
خلف أي سد تقد بحيرة ناصر؟,السد العالي
أين يقع السد العالي؟,مصر
من أول من وضع حجر الأساس لمشروع النهر الصناعي العظيم ؟,معمر أل قذافي
في أي قارة يقع كهف ناجاما؟,قارة أستراليا
ما أول سورة نزلت في المدينة المنورة؟,البقرة
ما السورة التي سميت سورة المؤمن؟,غافر
كم عدد الغازات الأساسية في كوكب الأرض؟,غازين
ما أكثر الفلزات إنتشاراً في الطبيعة ؟,الحديد
كم عيناً للعنكبوت؟,8 عيون
كم يبلغ طول أكبر الديناصورات حجماً؟,28 متر
كم يبلغ طول أصغر الديناصورات حجماً؟,30سم
 ما إسم ذكر البط؟,علجوم
ما القارة الوحيدة التي لا توجد بها طائر النحام؟,أستراليا
في أي سنة عرف مرض الأيدز؟,1984
 ما نوع العناكب التي تأكل زوجها؟,العناكب السوداء
من هو النبى الذي طلب رؤية الله ولم يره؟,سيدنا موسى
منهي نسبة الجبال من اليابس؟,20%
كم عظمة في رأس الإنسان؟,24 عظمة
ما أول دولة احتفلت بعيد العمال؟,أمريكا
ما الكوكب الذي له قمر فضي؟,الأرض
كم يبلغ قطر كوكب المشتري؟,142600كم
كم تبلغ حرارة الشمس عند المركز ؟,15000000
ما الكوكب الذي لقب بالمطوق ؟,زحل
كم عدد حلقات زحل عند خط الاستواء؟,حلقتان
 ما الكوكب الذي لقب بنجمة السماء الساطعة ؟,الزهرة
ما اسم الغاز الذي يحتويه كوكب الزهرة بكثافة ؟,ثاني أكسيد الكربون
ما اسم قمري المريخ ؟,فوبوس وديموس
 ما اسم القمر الصناعي الذي أطلق عام 1960 ؟,إكو ستار
ماذا يسمى الجزء الملون من العين ؟,القزحية
ما الشيء الذي أوله في لبنان وآخره في إسطنبول ؟,حرف اللام
من هو والد السيدة مريم ؟,سيدنا عمران
من هي والدة السيدة مريم ؟,حنا
ما الغدد التي لا تتصل بأي قنوات وتضخ ما تفرزه مباشرة في الدم ؟,الغدد الصماء
ما المحيط التي تطل عليه مدينة نوا كشط ؟,المحيط الأطلسي
ما اللقب الذي أطلق على زوجات الرسول ؟,أمهات المؤمنين
 ما الأشعة التي تمتصها طبقة الأوزون ؟,فوق البنفسجية
أين نظمت أول بطولة لكأس الخليج ؟,البحرين
 ما الدولة العربية التي تقع في المحيط الهندي ؟,جزر القمر
 من هو الصحابي الذي لقب بأسد الله ؟,حمزة بن عبد المطلب
كم عدد الرجال الذين قتلهم حمزة في غزوة أحد ؟ 93,30 رجل
من هو الفارس الذي قتله علي بن أبي طالب في غزوة الأحزاب؟,عمر بن ود
 من هو الملك المكلف بقبض الأرواح ؟,سيدنا عزرائيل عليه السلام
مما خلق الله الملائكة ؟,من النور
كم عدد أشواط السعي بين الصفا والمروة؟,7 أشواط
ماذا يسمى ذكر البقرة ؟,الثور
كم عدد السنوات التي يستغرقها زحل في الدور دورة كاملة حول الشمس؟,29 عما ، 46 يوم
كم عدد أشواط الطواف حول الكعبة ؟,7 أشواط
في أي غزوة ظهرت شجاعة عبد الحمن بن عوف ؟,غزوة بدر
كم رجلا من الكفار قتل في غزوة أحد ؟,60 رجل
كم عدد رماة المسلمين في غزوة أحد ؟,50 راميا
من هو الملك الموكل بالنفخ في الصور يوم القيامة ؟,سيدنا إسرافيل عليه السلام
في أي غزوة استشهد حمزة بن عبد المطلب ؟,غزوة أحد
من هو الملك الموكل بتوزيع الأرزاق ؟,سيدنا ميكائيل
ما اسم العين التي تفجرت منها الماء لسيدنا إسماعيل عليه السلام ؟,بئر زمزم
مما خلق الله تعالى الجان ؟,من النار
زوجة لسيدنا إبراهيم هاجرت معه من العراق إلى فلسطين ؟,السيدة سارة
من هي أم السيدة سيدنا إسماعيل ؟,السيدة هاجر
من هو والد سيدنا سليمان ؟,سيدنا داوود
من هو النبي الملقب بأبو العرب ؟,سيدنا إسماعيل
إلى أي بلد يرجع أصل السيدة هاجر؟,مصر
من هو النبي الذي أنجبته السيدة سارة ؟,سيدنا إسحاق
 من هو الصحابي الملقب بالفاروق ؟,سيدنا عمر بن الخطاب
ما هو الحيوان الذي تحولت له عصا موسى عندما ألقاها ؟,الثعبان
من هو الملك الموكل بنمو النبات ؟,سيدنا ميكائيل عليه السلام
من هو القوم الذين أرسل الله إليهم موسى عليه السلام ؟,قوم فرعون
ما اللقب الذي أطلق على سيدنا لقمان ؟,الحكيم
كم عدد الملائكة الذين يحملون العرش؟,8 ملائكة
من أبو سيدنا إسحاق ؟,سيدنا إبراهيم
من هو أبو سيدنا يعقوب ؟,سيدنا إسحاق
من هو أبو سيدنا يعقوب ؟,سيدنا إسحاق
 من هو أبو سيدنا يوسف ؟,سيدنا يعقوب
من هو أبو سيدنا يحيى ؟,سيدنا زكرياء
من هو النبي الملقب بخليل الله ؟,سيدنا إبراهيم
من هو الصحابي الملقب بسيد الشهداء ؟,سيدنا حمزة بن عبد المطلب
كوكبين من المجموعة الشمسية لقبا بالتوأمين ؟,أورانس ونبتون
إلى أي قوم أرسل سيدنا صالح ؟,قوم ثمود
من هو وزير فرعون الذي ذكر في القرآن ؟,هامان
بما عذب الله تعالى قوم نوح ؟,بالطوفان
ما اسم زوجة فرعون ؟,آسيا
من الصحابية الملقبة بأم الشهداء ؟,الخنساء تماضر بنت عمرو
في أي معركة استشهد أولاد الخنساء الأربعة ؟,القادسية
 ما الإسم الحقيقي لأبو جهل ؟,عمرو بن هشام
ما هي الصلاة التي قتل في أثناءها عمر بن الخطاب ؟,صلاة الفجر
في أي بلد ولد سيدنا موسى عليه السلام ؟,مصر
ما الإسم الحقيقي لأبو سفيان ؟,صخر بن حرب
ما الإسم الحقيقي لأبو لهب ؟,عبد العزى بن عبد المطلب
 ما البحر الذي تطل عليه المغرب ؟,البحر المتوسط
 ما المحيط الذي تطل عليه المغرب ؟,المحيط الأطلسي
في أي قارة توجد الصحراء الكبرى ؟,في أفريقيا
من أول طبيب قام بربط الشريان لمنع النزيف ؟,الزهراوي
ما أقدم عاصمة في العالم ؟,دمشق
ما رمز وكالة الأنباء الخليجية ؟,واخ
أين يقع ملعب ماركوانا لكرة القدم ؟,البرازيل
ما رمز وكالة الأنباء الجزائرية ؟,واج
كم جناحا للفراشة ؟,4 أجنحة
 ما رمز وكالة الأنباء الكويتية ؟,كونا
 مارمز وكالة أنباء الإمارات ؟,وام
أين توجد مدينة صفاقس ؟,تونس
 أين يصب نهر الأردن ؟,البحر الميت
ماذا يسمى الفيروس المسبب لمرض الإيدز ؟,اتش أي في (hiv)
ما اسم أم الرسول صلى الله عليه وسلم ؟,آمنة بنت وهب
كم يبلغ طول الأمعاء الدقيقة ؟,6 أمتار
أين تقع مدينة العين ؟,الإمارات
كم دولة تشترك بحدودها مع السودان ؟,9 دول
ما أشهر الدول العالمية في صناعة الساعات ؟,سويسرا
في أي قارة تقع جبال أطلس ؟,أفريقيا
من هو أصغر قائد في الإسلام ؟,أسامة بن زيد
من هو النبي أخو سيدنا موسى عليه السلام ؟,سيدنا هارون
 ما اسم الكتاب الذي نزل على سيدنا داوود ؟,الزبور
 كم سنة عاش سيدنا عاش سيدنا إدريس ؟,83 سنة
 كم سنة عاش سيدنا هود ؟,150 سنة
كم سنة عاش سيدنا صالح ؟,58 سنة
 كم سنة عاش سيدنا لوط ؟,175 سنة
كم سنة عاش سيدنا إسحاق ؟,147 سنة
 كم سنة عاش سيدنا داوود ؟,70 سنة
 كم سنة عاش سيدنا أيوب ؟,92 سنة
 كم سنة عاش سيدنا ذو الكفل ؟,75 سنة
 كم سنة عاش سيدنا هارون ؟,122 سنة
 كم سنة عاش سيدنا سليمان ؟,53 سنة
 كم سنة عاش سيدنا زكرياء ؟,120 سنة
 كم سنة عاش سيدنا يحيى ؟,30 سنة
كم سنة عاش سيدنا إبراهيم ؟,175 سنة
كم سنة عاش سيدنا موسى ؟,120 سنة
 من هو أصغر نبي عمرا ؟,سيدنا يحيى
من الذي كسر أنف أبو الهول ؟,نابليون بونابارت
ما اسم النبي الذي يبدأ اسمه بحرف الدال وينتهي به ؟,سيدنا داوود
 ما اسم النبي الذي يبدأ اسمه بحرف الياء وينتهي به ؟,سيدنا يحيى
 ما نوع الحيوانات التي لم تركب في سفينة نوح ؟,الحيوانات البحرية
كم بابا للجنة ؟,7 أبواب
ما هو لون علم ليبيا ؟,أخضر
من هو القائد الذي نشر في ربوع فلسطين السلام والإسلام ؟,عمرو بن العاص
 كم قاطعا في فم الإنسان ؟,8 قواطع
 كم نابا في فم الإنسان ؟,4 أنياب
 كم ضرسا في فم الإنسان ؟,20 ضرس
ما العصارة التي تفرزها المعدة ؟,العصارة المعدية
 ما العصارة التي يفرزها البنكرياس ؟,العصارة البنكرياسية
 ما السلطنة الوحيدة في الوطن العربي؟,سلطنة عمان
ما رمز وكالة الأنباء السعودية ؟,واس
ما رمز وكالة الأنباء السورية؟,سانا
ما العصمة القديمة لتركيا ؟,اسطنبول
ما العاصمة الحالية لتركيا ؟,أنقرة
 كم عظمة في جمجمة الإنسان ؟,22 عظمة
ما الحيوان الذي كان ينام مع أصحاب الكهف ؟,الكلب
 ما اسم الوادي الذي يمتد من البحر الميت حتى خليج العقبة؟,وادي عربة
 ما رمز وكالة الأنباء الفلسطينية ؟,وفا
من كان رئيس جيبوتي عام 2000 ؟,إسماعيل غيلية
كم سنة حكم الإستعمار الفرنسي الجزائر ؟,132 سنة
متى تغير لون علم قطر من الأحمر إلى القرمزي ؟,1949
من هو مؤسس مدينة فاس ؟,إدريس الأزهر
من هم الذين اخترعوا البارود ؟,الصينيون
من هو مؤلف كتاب الحيوان ؟,الجاحظ
من هي زوجة الرسول التي كانت تلقب بالحميراء ؟,عائشة بنت أبي بكر
ما الصوت الذي يصدره المريض ؟,أنين
في أي سنة هجرية تمت حجة الوداع ؟,السنة العاشرة للهجرة
كم دولة عربية في أفريقيا ليس عملتها الريال ؟,10 دول
كم دولة عربية عملتها الرسمية الفرنك ؟,دولتان
ما عاصمة ولاية نيويورك؟,ألباني
ما مدة دوران المشتري حول نفسه ؟,9:55 دقيقة
ما اسم أسرع كوكب يدور حول نفسه ؟,المشتري
ما عاصمة إيران ؟,طهران
ما عاصمة الصين ؟,بكين
ما عاصمة السنغال ؟,داكار
ما عاصمة ليبيا قبل طرابلس ؟,بنغازي
ما عاصمة تركيا ؟,أنقرة
ما عاصمة روسيا ؟,موسكو
ما عاصمة السويد ؟,استكهولم
ما عاصمة إسبانيا ؟,مدريد
ما عاصمة المكسيك ؟,مكسيكو سيتي
ما عاصمة الدانمرك ؟,كوبنهاغن
كم دولة في العالم تنتج الذهب ؟,50 دولة
ما أشهر دولة في إنتاج الذهب ؟,جنوب أفريقيا
كم تبلغ نسبة الذهب في جسم الإنسان ؟,7 مليجرامات
أين يوجد تمثال الحرية ؟,نيويورك
من الذي أسس مدينة القسطاط بمصر ؟,عمرو بن العاص
من هو مؤسس مدينة المهدبة في تونس ؟,حسان بن النعمان
من هو مؤسس مدينة بغداد ؟,أبو جعفر المنصور
من الذي فاز بكأس أوروبا لكرة القدم عام 1960 ؟,الإتحاد السوفيتي
أين يوجد حائط البراق ؟,فلسطين
كم سنة عاشت السيدة جورية بنت الحارث ؟,65 سنة
من هو خاتم أنبياء بني إسراءيل ؟,سيدنا عيسى عليه السلام
متى كانت مجزرة صبرا وشاتيلا ؟,عام 1982
ما أكبر جزر البحر المتوسط ؟,صقلية
من هو آخر الخلفاء العباسيين ؟,المستعصم
في أي نهر ألقي سيدنا موسى بالصندوق ؟,نهر النيل
ما اسم الكوكب الذي يغطي الماء معظم مساحته ؟,الأرض
من هو مكتشف جرثومة السل الرئوي ؟,روبرت كوخ
لماذا لقب شاعر المعلقات ميمون بن قيس بالأعشى ؟,لضعف بصره
ما اسم أصغر محيطات العالم ؟,المحيط المتجمد الشمالي
كم محيطا في العالم ؟,5 محيطات
ما أقدم ساعات العالم ؟,الساعة الشمسية
كم أسبوعا يستغرق القمر للدوران حول الأرض ؟,4 أسابيع تقريبا
أين اخترعت الساعة الشمسية ؟,في مصر
من هم القوم الذين أنزل الله عليهم المن والسلوى ؟,بني إسراءيل
من هو مكتشف البنسلين ؟,ألكسندر فليمنغ
متى أنشئ أول مسجد في فرنسا ؟,1926
في أي دولة توجد أكبر ساعة في العالم ؟,فرنسا
في أي عام بنيت هجري بنيت قبة الصخرة ؟,عام 72 هجري
س من هو الخليفة الأموي الذي بنى قبة الصخرة ؟,ج عبد الملك بن مروان
في أي مدينة ولد اليوناردو دافينشي ؟,فلورنسا
ماذا يسمى صوت الدجاج ؟,نقنقة
في أي عام اكتشف كريستوف كولمبس أمريكا ؟,عام 1492
من أول من استخرج المطاط من الأشجار ؟,الصينيون القدماء
ما هو أثقل المعادن؟,الإيريديوم
متى أكتشف الإيريديوم ؟,عام1804
ما أكبر جزر العالم مساحة ؟,جزيرة جيريلاند
من هي زوجة أبو سفيان ؟,هند بنت عتبة
ماذا يسمى ابن الحصان ؟,المهر
من هو صاحب معجم لسان العرب ؟,ابن منظور
كم عدسة تتكون منها عين الفراشة ؟,17 ألف عدسة
ما اسم المخلوق الوحيد الذي ينام على ظهره ؟,الإنسان
كم غدة يحتويها جلد الزواحف ؟,لا يوجد غدد
متى ترجم كتاب القانون لإبن سينا للغة اللاتينية ؟,1187
متى تم اكتشاف أن للكون مجرات ؟,عام1924
في أي مدينة ولد الموسيقار الألماني بيت هوفن ؟,بون
في أي ولاية أمريكية قتل الرئيس جون كيندي ؟,تكساس
متى أصبح الأمير عبدالله بن عبد العزيز وليا للعهد في المملكة السعودية؟,عام1982
ما اسم أول دولة عربية أحرزت كأس آسيا لكرة القدم ؟,الكويت
من أول من كتب لا إله إلا الله محمد رسول الله على العملة ؟,الحجاج بن يوسف الثقافي
ما المدة التي يتحمل فيها العقرب العطش ؟,3 سنوات
من هو الشخص الذي تبت يداه في القرآن الكريم ؟,أبو لهب
كم خلية عصبية يحتويها مخ الإنسان ؟,13 مليار خلية
أين ولد عزالدين القسام ؟,سوريا
متى ولد عزالدين القسام ؟,1871
في أي عام استشهد عزالدين القسام ؟,عام 1935
ما المدينة الأوروبية الملقبة بعاصمة الضباب ؟,لندن
من الذي فاز بكأس العالم عام 1986 ؟,الأرجنتين
من الذي فاز بكأس أفريقيا عام 1996 ؟,جنوب أفريقيا
ما عاصمة مالي ؟,تمبكتو
كم دولة عربية شاركت بنهائيات كأس العالم عام 1982 ؟,دولتان
ما الفيتامين الرئيشي الذي يساعد على تخثر الدم في حالة تعرض الجسم للجرح ؟,فيتامين k
ماذا نسمي لمعان ضوء البرق ؟,وميض
ما أصل كلمة فلسفة ؟,يوناني
من هو البحار العربي الذي ساعد فاسكو داجاما في رحلته الشهيرة؟,ابن ماجد
ما البلد التي لا تضع اسمها على طوابع البريد ؟,بريطانيا
ما وظيفة الطحال ؟,تكوين كريات الدم الحمراء
ما عاصمة تنزانيا ؟,دار السلام
كم يكون وزن الإنسان على القمر إذا كان وزنه على الأرض 60 كيلو؟,10 كيلو
ماذا كانت تسمى دولة البحرين قديما ؟,أوال
أيهما أملح البحر الأحمر أم المتوسط ؟,البحر الأحمر
ما جنسية الشاعر أبو القاسم الشابي ؟,تونسي
ما جمع كلمة دلو ؟,دلاء
ما هو أبرد جسم في المجموعة الشمسية ؟,قمر كوكب نبتون (ترايتون)
ما جمع كامة ببغاء؟,ببغاوات
كم تصل درجة برودة قمر نبتون (ترايتون) ؟,236 درجة تحت الصفر
متى عبر المحيط الأطلسي بالطائرة لأول مرة ؟,1927
ما اسم البحر الذي يفصل بين انجلترا وفرنسا ؟,بحر المانش
س – أين أقيم كأس أفريقيا لكرة القدم عام 1998 ؟,ج- بوركينا فاسو
س- من الذي فاز بكأس أفريقيا عام عام 1998 ؟,ج - مصر
من الذي لقب بالمعلم الأول ؟,ارسطو
من هو صاحب لقب المعلم الثاني ؟,الفارابي
من هو صاحب قصة حي بن يقظان ؟,ابن طفيل
ما ثالث أكبر قارة من حيث المساحة ؟,أفريقيا
ما هي رابع أكبر قارات العالم من حيث المساحة ؟,أوروبا
ما هي ثاني أكبر قارات العالم من حيث المساحة ؟,أمريكا
ماذا كانت تسمى أستراليا قديما ؟,أوقينيا
ما اسم أكبر جزيرة في أستراليا ؟,أستراليا
أين يوجد أطول نفق في العالم ؟,سويسرا
أين يوجد أكبر مصنع فبي العالم ؟,الكويت
في أي سورة قرآنية ذكر سيدنا زيد بن حارثة ؟,الأحزاب
كم سنة عاشت أم المؤمنين زينب بنت جحش ؟,53 سنة
من هي أم المؤمنين التي كانت أول من توفيت بعد الرسول الكريم ؟,السيدة زينب بنت جحش
متى اخترع مقياس الزلازل ؟,عام 132 م
في أي عصر عرف الإنسان صيد الأسماك ؟,العصر الحجري
من هو أول سفراء الإسلام ؟,مصعب بن عمير
ما هو لقب مصعب بن عمير بين المسلمين ؟,مصعب الخير
ما اسم أم مصعب بن عمير ؟,خناس بنت مالك
في أي غزوة استشهد مصعب بن عمير ؟,غزوة أحد
كم كان جيش قريش يوم الخندق ؟,24 ألف مقاتل
من هو الصحابي الملقب بأمير المدائن ؟,سلمان الفارسي
من هو الصحابي الملقب بمزعج الأصنام ؟,بلال بن رباح
من هو آخر الصحابة رحيلا عن الدنيا ؟,أنس بن مالك
في أي مدينة توفي أنس بن مالك ؟,البصرة
في أي سنة هجرية توفي أنس بن مالك ؟,91 للهجرة
من هو بطل معركة القادسية ؟,سعد بن الوقاص
من الملقب بفاتح المدائن ؟,سعد بن أبي وقاص
من الذي لقب بأنه أعلم رجل من أمة محمد بالحلال والحرام ؟,معاذ بن جبل
من الذي لقب بأول فرسان العالم ؟,المقداد بن عمرو
من أول صادح بالقرآن ؟,عبد الله بن مسعود
كم تبلغ مساحة سلطنة عمان ؟,220 ألف كم مربع
كم تبلغ مساحة قطر ؟,11437 كم مربع
متى نالت السودان استقلالها ؟,عام 1955
كم تبلغ مساحة السودان ؟,مليونين ونصف كم مربع
في أي سنة توفي خباب بن الأرث ؟,37 للهجرة
من هو الصحابي الذي كان أول من لقب بأمير الأمراء؟,أبو عبيدة بن الجراح
من هو أول مسلم دفن بالبقيع ؟,عثمان بن معظون
في أي غزوة استشهد زيد بن حارثة ؟,غزوة مؤتة
في أي غزوة استشهد جعفر بن أبي طالب ؟,غزوة مؤتة
في أي غزوة استشهد عبد الله بن رواحة ؟,غزوة مؤتة
من هو أول أمراء غزوة مؤتة ؟,زيد بن حارثة
من هو ثاني أمراء غزوة مؤتة ؟,جعفر بن أبي طالب
من هو ثالث أمراء غزوة مؤتة ؟,عبد الله بن رواحة
أين يقع قبر سيدنا خالد بن الوليد ؟,في حمص – سوريا
من هو شيطان الجاهلية ؟,عمير بن وهب
من هو صقر يوم اليمامة ؟,زيد بن الخطاب
من هو حواري الإسلام ؟,عمير بن وهب
من هو صقر يوم أحد ؟,طلحة بن عبيد الله
ماذا كان يسمى أبو هريرة في الجاهلية ؟,عبد شمس
